t,x
0,0.05948381
0.048,0.0551523
0.1119333,0.04130807
0.1600333,0.02713526
0.2079667,0.01155879
0.2560667,-0.005382242
0.3040333,-0.02264611
0.352,-0.03832968
0.4000333,-0.05187358
0.4639333,-0.05865848
0.5121,-0.0643384
0.56,-0.06093045
0.6080667,-0.05525053
0.6561333,-0.04957061
0.7039667,-0.03766122
0.7520667,-0.02219875
0.7999333,-0.005101622
0.8639333,0.01153073
0.912,0.02788459
0.9599333,0.04132216
1.008033,0.05161232
1.056133,0.05380389
1.104167,0.05493987
1.152033,0.05380389
1.200033,0.05039594
1.263967,0.04044624
1.3121,0.02767627
1.36,0.01162688
1.408033,-0.005022673
1.455967,-0.02127281
1.5041,-0.03821078
1.552067,-0.05525053
1.616033,-0.06294505
1.663933,-0.06914177
1.711967,-0.06857689
1.759967,-0.06122004
1.808133,-0.05428198
1.856133,-0.04205377
1.904067,-0.02652518
1.952067,-0.00966912
2.0161,0.006956623
2.063933,0.02279705
2.112033,0.03566579
2.16,0.04597905
2.208,0.04518511
2.256,0.04554225
2.304067,0.0457164
2.368067,0.04244405
2.4159,0.02767627
2.463933,0.01291185
2.512067,-0.00428634
2.56,-0.02015123
2.608067,-0.03483271
2.655967,-0.04048274
2.703933,-0.05046242
2.768067,-0.05638651
2.816067,-0.05638651
2.863933,-0.05411455
2.912033,-0.04583702
2.96,-0.03707479
3.008133,-0.02264372
3.055967,-0.00617606
3.104033,0.01045534
3.1681,0.02554309
3.216067,0.03750178
3.263933,0.04471602
3.312033,0.05266791
3.359933,0.05607586
3.408033,0.05266791
3.456033,0.045852
3.520033,0.03391084
3.5681,0.01952589
3.616033,0.004330373
3.664033,-0.01182298
3.7121,-0.02686924
3.76,-0.04012115
3.808067,-0.05065972
3.856333,-0.05638651
3.919933,-0.06093045
3.968067,-0.05994204
4.016133,-0.05411455
4.063933,-0.04275471
4.112067,-0.03042726
4.159933,-0.01562404
4.2081,-0.002710962
4.256033,0.01718159
4.3199,0.031688
4.368,0.04312486
4.416,0.05039594
4.463933,0.05493987
4.512033,0.05493696
4.56,0.05039594
4.608033,0.04264985
4.672033,0.02881225
4.720067,0.01435834
4.768033,-0.001371377
4.8161,-0.01671667
4.863933,-0.0309007
4.912067,-0.04373066
4.960033,-0.05297856
5.0081,-0.05865848
5.072033,-0.05989594
5.119967,-0.05680253
5.168067,-0.04957061
5.215967,-0.03972941
5.263933,-0.024967
5.311967,-0.009780633
5.360033,0.005799342
5.4239,0.02053381
5.472033,0.03644459
5.519967,0.04563892
5.5681,0.05153192
5.616067,0.05266791
5.663933,0.05039594
5.7119,0.04358004
5.759933,0.03449217
5.823967,0.02241118
5.872033,0.005568104
5.919933,-0.01082483
5.967967,-0.02582984
6.016067,-0.03867249
6.0639,-0.04843463
6.111933,-0.05297856
6.159967,-0.0575225
6.2241,-0.05641635
6.271967,-0.05070659
6.32,-0.04048274
6.368033,-0.02836074
6.416133,-0.017135
6.463967,-0.00195502
6.512033,0.01383804
6.575933,0.03085117
6.623967,0.0419676
6.672,0.04698799
6.7199,0.05266791
6.768067,0.05252077
6.816033,0.045852
6.863933,0.03790012
6.911967,0.02521303
6.9761,0.01069248
7.024067,-0.005232198
7.072033,-0.02037314
7.12,-0.03311453
7.168067,-0.04342309
7.216,-0.05070659
7.263967,-0.05638651
7.328067,-0.0568343
7.375967,-0.05092113
7.424,-0.04729864
7.471933,-0.03753458
7.520033,-0.02571372
7.568033,-0.01070186
7.616033,0.004734773
7.663967,0.01948325
7.728133,0.03347539
7.776233,0.04358004
7.823933,0.04925995
7.871967,0.05380389
7.920033,0.04812397
7.968033,0.04358004
8.016033,0.03351822
8.063967,0.01820383
8.1279,0.003033617
8.176033,-0.0113656
8.223933,-0.02552893
8.272033,-0.03780393
8.3199,-0.04745129
8.368,-0.05297856
8.416167,-0.05411455
8.479933,-0.05298636
8.5281,-0.04843463
8.576033,-0.0360697
8.623967,-0.02685094
8.672,-0.01187566
8.719967,0.002643006
8.768067,0.01740183
8.816,0.03104474
8.880133,0.04130807
8.927933,0.04925995
8.976067,0.05039594
9.024,0.05030661
9.0719,0.045852
9.120033,0.03773609
9.168033,0.02767627
9.232,0.01513153
9.279933,-0.000719271
9.328,-0.01529948
9.376067,-0.02808043
9.424033,-0.04161873
9.471967,-0.05184258
9.519933,-0.05411455
9.568033,-0.05297856
9.632033,-0.04957061
9.679933,-0.04275471
9.728067,-0.03265219
9.776,-0.02064442
9.824,-0.005952543
9.872,0.008609789
9.919967,0.02252856
9.967967,0.03468176
10.032,0.04358004
10.07997,0.04925995
10.1281,0.05039594
10.17603,0.04698799
10.224,0.04017209
10.27193,0.03253624
10.3199,0.0198312
10.38403,0.00474801
10.43197,-0.009484288
10.47987,-0.02288909
10.52807,-0.03563993
10.57607,-0.04389069
10.624,-0.04957061
10.67193,-0.05297856
10.71993,-0.05184258
10.7839,-0.04161873
10.832,-0.03758597
10.8799,-0.02686959
10.9281,-0.0134727
10.97607,0.000817308
11.02403,0.01502547
11.0719,0.02844478
11.11993,0.03915742
11.18407,0.04471602
11.23197,0.04925995
11.27997,0.04698799
11.32807,0.04244405
11.37607,0.03623413
11.42397,0.02452955
11.4719,0.01006243
11.53607,-0.004143526
11.5839,-0.01753279
11.6319,-0.02876791
11.67987,-0.04161873
11.72793,-0.04275471
11.77603,-0.05070659
11.82387,-0.05070659
11.8719,-0.04616266
11.936,-0.04161873
11.98397,-0.03062167
12.032,-0.01913103
12.0799,-0.005638926
12.12803,0.008038883
12.17597,0.02244688
12.224,0.03421101
12.28803,0.0390361
12.336,0.04471602
12.384,0.04925995
12.43197,0.04471602
12.47993,0.03562815
12.52807,0.03043189
12.57613,0.01787113
12.624,0.003001587
12.68813,-0.009959166
12.73603,-0.02338546
12.78407,-0.03440094
12.832,-0.04616266
12.8799,-0.05070659
12.928,-0.04957061
12.9761,-0.04843463
13.02407,-0.04389069
13.08813,-0.03505056
13.136,-0.02395254
13.18397,-0.01097864
13.2319,0.001980609
13.2799,0.01690565
13.328,0.02901535
13.376,0.04017209
13.43997,0.04698799
13.48803,0.045852
13.536,0.04812397
13.5839,0.04130807
13.63187,0.03571615
13.6799,0.02332567
13.728,0.01125091
13.776,-0.004391223
13.8399,-0.01751013
13.88807,-0.02888259
13.93607,-0.03847082
13.98397,-0.04616266
14.03187,-0.04843463
14.0799,-0.04729864
14.128,-0.04502668
14.1919,-0.0386224
14.2399,-0.02831645
14.28837,-0.01714499
14.33607,-0.003757727
14.384,0.009971244
14.43193,0.02351973
14.48003,0.03437497
14.52803,0.04017209
14.59203,0.04698799
14.6399,0.045852
14.68813,0.04471602
14.736,0.03782943
14.78407,0.02866975
14.8319,0.0169963
14.8799,0.003129203
14.9279,-0.01114985
14.99203,-0.02308069
15.03993,-0.03351246
15.0881,-0.04389069
15.13597,-0.04616266
15.18397,-0.04616266
15.23187,-0.04729864
15.27987,-0.03934676
15.34407,-0.03204437
15.392,-0.02114374
15.43987,-0.008268311
15.4881,0.004882588
15.536,0.01843365
15.58397,0.02968483
15.6319,0.04017209
15.68003,0.04471602
15.74397,0.045852
15.792,0.04471602
15.84,0.03790012
15.888,0.03254926
15.93587,0.02193613
15.98393,0.00920972
16.032,-0.005774778
16.09607,-0.01718224
16.144,-0.02787083
16.192,-0.04048274
16.2399,-0.04502668
16.28817,-0.04616266
16.336,-0.04616266
16.384,-0.04275471
16.43193,-0.03707479
16.49603,-0.0259175
16.54387,-0.01453682
16.59197,-0.001546189
16.6399,0.010537
16.68803,0.02272985
16.736,0.0327106
16.784,0.03790012
16.832,0.04130807
16.89603,0.04698799
16.94393,0.04017209
16.9919,0.03335619
17.03993,0.02591893
17.08803,0.01485791
17.136,0.001726393
17.1839,-0.01060731
17.24793,-0.02289265
17.29597,-0.03282519
17.34397,-0.04161873
17.392,-0.04389069
17.43993,-0.04501252
17.48793,-0.04282372
17.53603,-0.03707479
17.58397,-0.02866353
17.64793,-0.01538942
17.69603,-0.002465985
17.7439,0.009106964
17.79197,0.02024032
17.83993,0.02922602
17.888,0.03743578
17.93603,0.04130807
17.9839,0.04130807
18.04807,0.03997653
18.09607,0.03562815
18.14393,0.0254043
18.19203,0.01522002
18.23993,0.003214156
18.28807,-0.009294715
18.3359,-0.0214199
18.39993,-0.03147144
18.4479,-0.03821078
18.49603,-0.04410998
18.54407,-0.04389069
18.59193,-0.04332368
18.63997,-0.03645879
18.68797,-0.03366684
18.73607,-0.02375331
18.79993,-0.01295698
18.8479,-0.0005920415
18.896,0.01251858
18.94397,0.02315383
18.992,0.03217313
19.03997,0.03676414
19.08797,0.04017209
19.15197,0.0401787
19.19997,0.03718816
19.24787,0.0322202
19.29603,0.02288345
19.34403,0.01256173
19.3919,-0.0008111498
19.4399,-0.01224975
19.4879,-0.02365595
19.55197,-0.03331327
19.59987,-0.03821078
19.64793,-0.04389069
19.69603,-0.04452374
19.74407,-0.03995777
19.792,-0.03707479
